2022/02/19 11:44:39 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/main.go:32 main.init.0"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645242279996756500}
2022/02/19 12:30:02 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:91 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645245002189580900}
2022/02/20 16:19:28 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645345168948431300}
2022/02/20 16:24:06 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645345446443701000}
2022/02/20 16:25:51 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645345551449846300}
2022/02/20 16:27:15 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"info","message":"Testing :github.com/RyanTokManMokMTM/blog-service","time":1645345635700948200}
2022/02/22 19:20:56 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645528856724759700}
2022/02/22 19:20:56 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645528856727545800}
2022/02/22 19:21:06 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645528866924756300}
2022/02/22 19:21:06 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645528866924756300}
2022/02/22 19:21:11 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645528871387805200}
2022/02/22 19:21:11 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645528871387805200}
2022/02/22 19:21:48 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645528908303288600}
2022/02/22 19:21:48 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645528908303288600}
2022/02/22 19:22:17 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645528937300693800}
2022/02/22 19:22:17 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645528937301858400}
2022/02/23 15:20:17 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645600817996844000}
2022/02/23 15:20:17 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645600817997843700}
2022/02/23 15:20:40 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645600840176099300}
2022/02/23 15:20:40 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"error","message":"app.BindAndValid errs :State必须是[01]中的一个","time":1645600840176099300}
2022/02/23 15:20:47 {"callers":["C:/Users/RyanT/GolandProjects/blog-service/pkg/logger/logger.go:92 github.com/RyanTokManMokMTM/blog-service/pkg/logger.(*Logger).WithCaller"],"level":"warning","message":"testing\n","time":1645600847390203600}
